plz,neighbours
01067,01067 01097 01099 01139 01157 01159 01219
01069,01069 01189 01217
01097,01067 01097 01099 01129 01307
01099,01067 01097 01099 01108 01109 01127 01129 01307 01309 01324 01326 01328 01454 01465
01108,01099 01108 01109 01458 01471
01109,01099 01108 01109 01129 01458 01468 01471
01127,01099 01127 01129
01129,01097 01099 01109 01127 01129 01139 01157 01445 01468
01139,01067 01129 01139 01156 01157 01445
01156,01139 01156 01157 01169 01445 01665 01705 01723
01157,01067 01129 01139 01156 01157 01159 01169 01445
01159,01067 01157 01159 01169 01217 01705
01169,01156 01157 01159 01169 01187 01189 01705
01187,01169 01187 01705
01189,01069 01169 01189 01217 01705 01728
01217,01069 01159 01189 01217 01219 01728
01219,01067 01217 01219 01237 01239 01277 01307 01309 01728
01237,01219 01237 01239 01257 01259 01277 01279 01326
01239,01219 01237 01239 01257 01259 01279 01326 01728 01731 01809
01257,01237 01239 01257 01259 01279 01326
01259,01237 01239 01257 01259 01279 01326 01328 01796 01809
01277,01219 01237 01277 01279 01307 01309 01324 01326
01279,01237 01239 01257 01259 01277 01279 01309 01326 01328
01307,01097 01099 01219 01277 01307 01309
01309,01099 01219 01277 01279 01307 01309 01326
01324,01099 01277 01324 01326 01328 01454
01326,01099 01237 01239 01257 01259 01277 01279 01309 01324 01326 01328 01454 01731 01796 01809
01328,01099 01259 01279 01324 01326 01328 01454 01477 01796 01833
01445,01129 01139 01156 01157 01445 01468 01471 01640 01665
01454,01099 01324 01326 01328 01454 01458 01477 01561 01833 01896 01900 01920 01936
01458,01108 01109 01454 01458 01471 01561 01936
01465,01099 01465
01468,01109 01129 01445 01468 01471 01561 01640 01665 01689
01471,01108 01109 01445 01458 01468 01471 01561 01936
01477,01328 01454 01477 01833 01900 01909
01558,01558 01561 01612
01561,01454 01458 01468 01471 01558 01561 01609 01612 01665 01689 01936 01945 01990 04932
01587,01587 01589 01591 01594 01619
01589,01587 01589 01591 01594 01612 01619
01591,01587 01589 01591 01594 01616 01619 04758
01594,01587 01589 01591 01594 01612 01623 01665 04720 04749 04758
01609,01561 01609 01612 01619 04910 04924 04931 04932
01612,01558 01561 01589 01594 01609 01612 01619 01623 01665
01616,01591 01616 01619 04758 04874 04931
01619,01587 01589 01591 01609 01612 01616 01619 04924 04931
01623,01594 01612 01623 01665 01683 04720 04749 04758
01640,01445 01468 01640 01662 01665 01689
01662,01640 01662 01665 01689
01665,01156 01445 01468 01561 01594 01612 01623 01640 01662 01665 01683 01689 01705 01723 09603 09629 09634
01683,01623 01665 01683 04720 04741 09603 09629 09634 09661
01689,01468 01561 01640 01662 01665 01689
01705,01156 01159 01169 01187 01189 01665 01705 01723 01728 01734 01737 01774
01723,01156 01665 01705 01723 01734 01737 09629 09633
01728,01189 01217 01219 01239 01705 01728 01731 01734
01731,01239 01326 01728 01731 01734 01744 01768 01809
01734,01705 01723 01728 01731 01734 01737 01744 01768 01774
01737,01705 01723 01734 01737 01738 01744 01774 09627 09629 09633
01738,01737 01738 01744 01774
01744,01731 01734 01737 01738 01744 01762 01768 01773 01774 01776 09623
01762,01744 01762 01774 01776 09623
01768,01731 01734 01744 01768 01773 01778 01809 01825
01773,01744 01768 01773 01776 01778 01825 09623
01774,01705 01734 01737 01738 01744 01762 01774 09623 09627 09633 09638
01776,01744 01762 01773 01776 09623
01778,01768 01773 01778 01816 01825
01796,01259 01326 01328 01796 01809 01814 01816 01819 01824 01829 01833 01847 01848
01809,01239 01259 01326 01731 01768 01796 01809 01816 01819 01825
01814,01796 01814 01824 01847 01848 01855
