plz,neighbours
01067,01067 01069 01097 01099 01127 01129 01139 01157 01159 01169 01187 01189 01219 01237 01277 01279 01307 01309 01324
01069,01067 01069 01097 01099 01127 01129 01159 01187 01189 01217 01219 01237 01277 01279 01307 01309 01324
01097,01067 01069 01097 01099 01127 01129 01277 01307 01309 01324
01099,01067 01069 01097 01099 01108 01109 01127 01129 01217 01219 01237 01277 01279 01307 01309 01324 01326 01328 01454 01465
01108,01099 01108 01109 01127 01129 01139 01458 01465 01471
01109,01099 01108 01109 01127 01129 01139 01458 01465 01468 01471
01127,01067 01097 01099 01127 01129 01139 01324
01129,01097 01099 01108 01109 01127 01129 01139 01157 01324 01445 01458 01465 01468
01139,01067 01097 01127 01129 01139 01156 01157 01445
01156,01139 01156 01157 01169 01445 01640 01662 01665 01689 01705 01723
01157,01067 01097 01127 01129 01139 01156 01157 01159 01169 01445
01159,01067 01069 01097 01157 01159 01169 01187 01189 01217 01705
01169,01139 01156 01157 01159 01169 01187 01189 01705
01187,01069 01159 01169 01187 01189 01217 01705
01189,01069 01169 01187 01189 01217 01705 01728
01217,01069 01159 01187 01189 01217 01219 01728
01219,01067 01069 01217 01219 01237 01239 01257 01277 01307 01309 01728
01237,01219 01237 01239 01257 01259 01277 01279 01307 01309 01326
01239,01069 01217 01219 01237 01239 01257 01259 01277 01279 01307 01309 01326 01728 01731 01809
01257,01069 01217 01219 01237 01239 01257 01259 01277 01279 01307 01309 01324 01326 01328 01731 01809
01259,01237 01239 01257 01259 01277 01279 01309 01324 01326 01328 01796 01809 01829
01277,01219 01237 01239 01257 01259 01277 01279 01307 01309 01324 01326
01279,01237 01239 01257 01259 01277 01279 01309 01324 01326 01328
01307,01069 01097 01099 01127 01219 01237 01277 01279 01307 01309 01324
01309,01099 01219 01237 01277 01279 01307 01309 01324 01326
01324,01099 01108 01219 01237 01277 01279 01307 01309 01324 01326 01328 01454 01465
01326,01069 01097 01099 01108 01109 01127 01217 01219 01237 01239 01257 01259 01277 01279 01307 01309 01324 01326 01328 01454 01465 01477 01731 01796 01809 01829
01328,01099 01108 01219 01237 01239 01257 01259 01277 01279 01307 01309 01324 01326 01328 01454 01465 01477 01796 01809 01829 01833 01847 01900 01909
01445,01067 01097 01127 01129 01139 01156 01157 01307 01445 01468 01471 01640 01662 01665 01689
01454,01067 01069 01097 01099 01108 01109 01127 01129 01139 01156 01157 01159 01169 01187 01189 01217 01219 01237 01277 01279 01307 01309 01324 01326 01328 01445 01454 01458 01465 01468 01471 01477 01558 01561 01640 01662 01689 01833 01896 01900 01906 01909 01917 01920 01936
01458,01108 01109 01127 01129 01139 01445 01454 01458 01465 01468 01471 01558 01561 01640 01662 01689 01936
01465,01099 01108 01454 01458 01465
01468,01067 01097 01108 01109 01127 01129 01139 01157 01307 01309 01445 01468 01471 01558 01561 01612 01640 01662 01665 01689
01471,01108 01109 01445 01458 01465 01468 01471 01558 01561 01640 01662 01689 01936
01477,01328 01454 01477 01833 01900 01909
01558,01558 01561 01612
01561,01067 01097 01099 01108 01109 01127 01129 01139 01157 01307 01309 01324 01445 01454 01458 01465 01468 01471 01558 01561 01609 01612 01640 01662 01665 01689 01936 01945 01990 04928 04932
01587,01587 01589 01591 01594 01619
01589,01587 01589 01591 01594 01612 01619
01591,01587 01589 01591 01594 01616 01619 04758
01594,01587 01589 01591 01594 01612 01616 01623 01662 01665 04720 04741 04749 04758
01609,01558 01561 01587 01589 01591 01594 01609 01612 01616 01619 01990 04910 04924 04928 04931 04932 04934
01612,01067 01097 01108 01109 01127 01129 01139 01157 01307 01309 01445 01468 01471 01558 01561 01587 01589 01591 01594 01609 01612 01619 01623 01640 01662 01665 01689 01990
01616,01587 01589 01591 01616 01619 04758 04874 04931
01619,01587 01589 01591 01609 01612 01616 01619 04924 04931
01623,01587 01589 01591 01594 01612 01616 01623 01662 01665 01683 04720 04741 04749 04758 09634
01640,01139 01157 01445 01468 01640 01662 01665 01689
01662,01640 01662 01665 01689
01665,01067 01069 01097 01108 01109 01127 01129 01139 01156 01157 01159 01169 01187 01189 01217 01219 01237 01239 01257 01277 01279 01307 01309 01445 01468 01471 01558 01561 01587 01589 01591 01594 01612 01623 01640 01662 01665 01683 01689 01705 01723 01728 09603 09629 09634
01683,01623 01662 01665 01683 01738 04720 04741 04749 09603 09629 09633 09634 09661
01689,01067 01097 01108 01109 01127 01129 01139 01157 01307 01309 01445 01468 01471 01558 01561 01612 01640 01662 01665 01689
01705,01067 01069 01097 01127 01129 01139 01156 01157 01159 01169 01187 01189 01217 01445 01468 01640 01662 01665 01689 01705 01723 01728 01734 01737 01738 01774 09627 09633
01723,01139 01156 01157 01169 01445 01640 01662 01665 01689 01705 01723 01734 01737 01738 09629 09633 09634
01728,01187 01189 01217 01219 01239 01705 01728 01731 01734
01731,01069 01159 01169 01187 01189 01217 01219 01237 01239 01257 01259 01277 01279 01307 01309 01326 01728 01731 01734 01744 01768 01809 01825
01734,01069 01159 01169 01187 01189 01217 01219 01237 01239 01277 01307 01309 01705 01723 01728 01731 01734 01737 01738 01744 01762 01768 01774
01737,01159 01169 01705 01723 01734 01737 01738 01744 01762 01774 09599 09600 09603 09627 09629 09633 09634 09638
01738,01734 01737 01738 01744 01762 01774
01744,01189 01239 01728 01731 01734 01737 01738 01744 01762 01768 01773 01774 01776 09623
01762,01738 01744 01762 01774 01776 09623
01768,01731 01734 01744 01768 01773 01776 01778 01809 01825
01773,01738 01744 01762 01768 01773 01776 01778 01825 09623
01774,01705 01734 01737 01738 01744 01762 01774 01776 09623 09627 09633 09638
01776,01738 01744 01762 01773 01776 09623
01778,01768 01773 01778 01816 01819 01825
01796,01237 01257 01259 01279 01324 01326 01328 01796 01809 01814 01816 01819 01824 01825 01829 01833 01847 01848
01809,01069 01159 01189 01217 01219 01237 01239 01257 01259 01277 01279 01307 01309 01326 01728 01731 01768 01796 01809 01816 01819 01825 01829
01814,01796 01814 01824 01829 01847 01848 01855
01816,01778 01796 01809 01816 01819 01824 01825 01829 01847
01819,01796 01809 01816 01819 01825 01829
01824,01796 01814 01816 01819 01824 01829 01847 01848 01855
01825,01731 01768 01773 01778 01809 01816 01819 01825
01829,01796 01824 01829 01847 01848
01833,01328 01454 01477 01796 01829 01833 01844 01847 01848 01877 01900 01909
01844,01829 01833 01844 01847 01848 01855 01877 01900 01904 01909
01847,01796 01814 01824 01829 01833 01847 01848
01848,01796 01814 01824 01829 01833 01844 01847 01848 01855
01855,01814 01824 01844 01848 01855
01877,01833 01844 01877 01896 01900 01904 01906 01909 01917 01920 02633
01896,01454 01458 01465 01477 01877 01896 01900 01906 01909 01917 01920 01936
01900,01454 01477 01877 01896 01900 01906 01909
01904,01844 01877 01904 01906 02633 02681 02689 02692
01906,01877 01900 01906 01909 01917 01920 02633
01909,01477 01833 01877 01900 01909
01917,01896 01906 01917 01920 01936 02994 02997
01920,01108 01127 01454 01458 01465 01477 01877 01896 01900 01906 01909 01917 01920 01936 01945 01996 02625 02633 02681 02692 02699 02977 02994 02997 02999
01936,01108 01109 01127 01129 01139 01445 01454 01458 01465 01468 01471 01558 01561 01640 01662 01689 01896 01900 01906 01909 01917 01920 01936 01945 01990 01996 02991 02994
01945,01558 01561 01917 01920 01936 01945 01968 01979 01987 01990 01993 01996 01998 02991 02994 04910 04928 04934
01968,01945 01968 01983 01987 01993 01994 01996 01998 02977 02979 02991 03103 03119
01979,01945 01979 01987 01993 01994 01998 03238 03253 04910 04928 04932 04934
01983,01968 01983 01993 01994 01998 03048 03099 03103 03116 03119 03205 03229 03238 03246
01987,01945 01968 01979 01983 01987 01993 01994 01996 01998 03238 04928
01990,01558 01561 01936 01945 01990 04928 04932
01993,01968 01979 01983 01987 01993 01994 01998 03238
01994,01968 01979 01983 01987 01993 01994 01998 03238
01996,01945 01968 01987 01993 01996 01998 02991
01998,01968 01979 01983 01987 01993 01994 01998 03238
02625,02625 02627 02633 02692 02694 02699
02627,01904 02625 02627 02633 02681 02689 02692 02694 02699 02708 02733 02736 02894 02906 02943 02999
02633,01877 01900 01904 01906 01909 01917 01920 02625 02627 02633 02681 02692 02694 02699 02733 02736
02681,01904 02625 02627 02633 02681 02689 02692 02733 02736
02689,01904 02681 02689 02736
02692,01904 02625 02627 02633 02681 02692 02733 02736
02694,02625 02627 02694 02699 02906 02943 02999
02699,01900 01906 01917 01920 02625 02627 02633 02694 02699 02994 02997 02999
02708,02627 02681 02689 02692 02708 02730 02733 02736 02739 02742 02747 02748 02894
02727,02727 02730 02739 02782 02794
02730,02708 02727 02730 02739 02742
02733,02627 02681 02689 02692 02708 02733 02736
02736,02681 02689 02692 02708 02733 02736 02742
02739,02708 02727 02730 02739 02747 02763 02779 02782 02785 02791 02794 02796 02799
02742,02708 02730 02736 02742
02747,02708 02727 02730 02739 02747 02748 02763 02779 02782 02785 02788 02791 02794 02796 02799
02748,02708 02727 02730 02739 02747 02748 02782 02788 02791 02794 02826 02827 02828 02829 02894 02899
02763,02739 02747 02763 02779 02785 02788 02791 02794 02796 02797 02799
02779,02727 02763 02779 02782 02785 02791 02794 02796 02799
02782,02727 02779 02782 02791 02794
02785,02763 02779 02785 02796 02797
02788,02747 02748 02763 02785 02788 02899
02791,02727 02739 02747 02763 02779 02782 02785 02791 02794 02796 02799
02794,02727 02739 02747 02763 02779 02782 02785 02791 02794 02796 02799
02796,02763 02779 02785 02796 02797 02799
02797,02763 02785 02796 02797
02799,02763 02779 02785 02796 02799
02826,02826 02827 02828 02829
02827,02826 02827 02828 02829 02899
02828,02826 02827 02828 02829 02923
02829,02748 02826 02827 02828 02829 02894 02899 02906 02923 02929
02894,02627 02681 02689 02692 02694 02708 02733 02736 02742 02748 02826 02827 02828 02829 02894 02906 02923
02899,02748 02788 02826 02827 02828 02829 02899
02906,02627 02692 02694 02733 02826 02828 02829 02894 02906 02923 02929 02943 02956 02957
02923,02826 02828 02829 02894 02906 02923 02929 02956
02929,02826 02828 02829 02894 02906 02923 02929 02956 02957
02943,01906 02625 02627 02694 02699 02906 02923 02943 02953 02956 02957 02959 02979 02997 02999 03119 03130
02953,02943 02953 02956 02957 02959 02999 03130 03159
02956,02906 02923 02929 02943 02956 02957
02957,02929 02943 02953 02956 02957 02959 02999 03130
02959,02943 02953 02959 02979 02997 02999 03119 03130
02977,02977 02979 02991 02994 02997 02999
02979,01968 01996 02943 02953 02959 02977 02979 02991 02994 02997 02999 03103 03119 03130
02991,01917 01936 01945 01968 01987 01993 01996 01998 02699 02977 02979 02991 02994 02997 02999
02994,01917 01920 01936 01945 01987 01993 01996 02699 02977 02979 02991 02994 02997 02999
02997,01917 01920 01996 02699 02977 02979 02991 02994 02997 02999
02999,01900 01906 01917 01920 01996 02625 02627 02694 02699 02943 02977 02979 02991 02994 02997 02999
03042,03042 03044 03046 03048 03050 03051 03052 03053 03054 03055 03058 03099 03116 03185
